year,HYDE estimates 1750-1950,UN estimates 1950-2010,Medium Fertility,High Fertility,Low Fertility,Constant Fertility
1750,736113.3142,,,,,
1760,774158.7237,,,,,
1770,816847.7109,,,,,
1780,892997.9705,,,,,
1790,937242.0144,,,,,
1800,952501.4657,,,,,
1810,1029961.401,,,,,
1820,1057376.526,,,,,
1830,1139943.549,,,,,
1840,1199990.593,,,,,
1850,1276316.991,,,,,
1860,1333548.003,,,,,
1870,1333547.793,,,,,
1880,1412555.032,,,,,
1890,1530867.717,,,,,
1900,1650611.158,,,,,
1910,1773272.443,,,,,
1920,1907636.821,,,,,
1930,2087279.751,,,,,
1940,2302820.941,,,,,
1950,2529333.653,2525778.67 ,,,,
1951,,2572850.92 ,,,,
1952,,2619292.07 ,,,,
1953,,2665865.39 ,,,,
1954,,2713172.03 ,,,,
1955,,2761650.98 ,,,,
1956,,2811572.03 ,,,,
1957,,2863042.80 ,,,,
1958,,2916030.17 ,,,,
1959,,2970395.81 ,,,,
1960,,3026002.94 ,,,,
1961,,3082830.27 ,,,,
1962,,3141071.53 ,,,,
1963,,3201178.28 ,,,,
1964,,3263738.83 ,,,,
1965,,3329122.48 ,,,,
1966,,3397475.25 ,,,,
1967,,3468521.72 ,,,,
1968,,3541674.89 ,,,,
1969,,3616108.75 ,,,,
1970,,3691172.62 ,,,,
1971,,3766754.35 ,,,,
1972,,3842873.61 ,,,,
1973,,3919182.33 ,,,,
1974,,3995304.92 ,,,,
1975,,4071020.43 ,,,,
1976,,4146135.85 ,,,,
1977,,4220816.74 ,,,,
1978,,4295664.83 ,,,,
1979,,4371527.87 ,,,,
1980,,4449048.80 ,,,,
1981,,4528234.63 ,,,,
1982,,4608962.42 ,,,,
1983,,4691559.84 ,,,,
1984,,4776392.83 ,,,,
1985,,4863601.52 ,,,,
1986,,4953376.71 ,,,,
1987,,5045315.87 ,,,,
1988,,5138214.69 ,,,,
1989,,5230452.41 ,,,,
1990,,5320816.67 ,,,,
1991,,5408908.72 ,,,,
1992,,5494899.57 ,,,,
1993,,5578865.11 ,,,,
1994,,5661086.35 ,,,,
1995,,5741822.41 ,,,,
1996,,5821016.75 ,,,,
1997,,5898688.34 ,,,,
1998,,5975303.66 ,,,,
1999,,6051478.01 ,,,,
2000,,6127700.43 ,,,,
2001,,6204147.03 ,,,,
2002,,6280853.82 ,,,,
2003,,6357991.75 ,,,,
2004,,6435705.60 ,,,,
2005,,6514094.61 ,,,,
2006,,6593227.98 ,,,,
2007,,6673105.94 ,,,,
2008,,6753649.23 ,,,,
2009,,6834721.93 ,,,,
2010,,6916183.48 ,6916183.482,6916183.482,6916183.482,6916183.482
2011,,,6997998.76,7005844.657,6990090.509,7000955.727
2012,,,7080072.417,7099195.343,7060800.42,7087375.436
2013,,,7162119.434,7195451.903,7128540.016,7175186.584
2014,,,7243784.121,7293435.74,7193795.111,7264003.722
2015,,,7324782.225,7392233.241,7256924.688,7353522.434
2016,,,7404976.783,7491547.608,7317957.996,7443680.488
2017,,,7484325.476,7591454.62,7376732.252,7534492.878
2018,,,7562760.049,7691842.064,7433217.201,7625822.39
2019,,,7640244.883,7792682.732,7487359.126,7717524.596
2020,,,7716749.042,7893903.838,7539162.617,7809496.88
2021,,,7792209.448,7995411.786,7588606.248,7901696.192
2022,,,7866579.808,8096972.974,7635839.712,7994135.853
2023,,,7939876.856,8198226.994,7681247.185,8086852.857
2024,,,8012143.175,8298744.353,7725329.401,8179917.987
2025,,,8083412.759,8398226.376,7768450.499,8273410.403
2026,,,8153677.369,8496528.413,7810752.652,8367374.511
2027,,,8222926.554,8593734.355,7852161.637,8461881.986
2028,,,8291192.823,8690073.475,7892550.383,8557083.922
2029,,,8358519.176,8785903.985,7931693.095,8653165.399
2030,,,8424937.474,8881518.706,7969407.142,8750295.663
2031,,,8490455.587,8976990.711,8005662.92,8848581.563
2032,,,8555067.634,9072335.341,8040470.44,8948121.713
2033,,,8618773.635,9167727.865,8073723.105,9049069.657
2034,,,8681569.042,9263363.028,8105297.139,9151589.398
2035,,,8743446.952,9359399.731,8135087.089,9255827.91
2036,,,8804405.816,9455927.543,8163036.897,9361911.354
2037,,,8864436.768,9552994.174,8189105.261,9469935.886
2038,,,8923514.713,9650656.642,8213223.066,9579979.857
2039,,,8981607.338,9748953.652,8235322.283,9692105.209
2040,,,9038687.151,9847909.272,8255351.186,9806383.028
2041,,,9094743.549,9947554.399,8273279.68,9922928.843
2042,,,9149768.513,10047890.7,8289098.65,10041854.74
2043,,,9203740.56,10148867.44,8302809.883,10163225.33
2044,,,9256636.273,10250405.89,8314429.148,10287093.93
2045,,,9308438.178,10352434.86,8323977.896,10413537.3
2046,,,9359139.84,10454937.36,8331464.418,10542677.89
2047,,,9408741.189,10557887.85,8336912.675,10674664.51
2048,,,9457240.781,10661193.41,8340384.471,10809639.08
2049,,,9504640.288,10764741.23,8341958.683,10947755.36
2050,,,9550944.891,10868443.54,8341706.015,11089178.45
2051,,,9596160.31,10972268.19,8339666.515,11234078.6
2052,,,9640298.273,11076209.97,8335874.829,11382642.23
2053,,,9683379.446,11180245.51,8330390.963,11535078.73
2054,,,9725429.894,11284359.91,8323279.305,11691612.98
2055,,,9766475.107,11388550.51,8314596.955,11852473.76
